workerid,proliferate.condition,choices,concept,correct,definition,failed_audio,failed_images,failed_video,img,internal_node_id,name,response,rt,seed,solution,stimulus,success,time_elapsed,timeout,trial_index,trial_type,view_history,error
23,CB14,,,,,[],[],[],,0.0-0.0,,,,0.784584732,,,TRUE,878,FALSE,0,preload,,
23,CB14,,,,,,,,,0.0-1.0,,,59366,0.784584732,,,,60245,,1,instructions,"[{'page_index': 0, 'viewing_time': 59366}]",
23,CB14,,,,,,,,,0.0-2.0,,,27930,0.784584732,,,,88177,,2,instructions,"[{'page_index': 0, 'viewing_time': 2226}, {'page_index': 1, 'viewing_time': 4584}, {'page_index': 2, 'viewing_time': 12209}, {'page_index': 3, 'viewing_time': 8911}]",
23,CB14,"['No', 'Yes']",concept_tll,TRUE,a triangle with two straight lines extending out of one of its corners,,,,geoclidean\constraints\concept_tll\test\out_close_1_fin.png,0.0-3.0-0.0,uvs,0,7783,0.784584732,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'uvs' is: a triangle with two straight lines extending out of one of its corners<br><b>Question:</b><br> Is the image below a 'uvs'? <br></p><img src='geoclidean\constraints\concept_tll\test\out_close_1_fin.png' height='300px'>",,95963,,3,html-button-response,,
23,CB14,"['No', 'Yes']",concept_cccl,FALSE,"Three intersecting circles. Among their points of intersection, one point is shared by all three circles. Additionally, one of the circles contains a line whose endpoints are on the circle's border.",,,,geoclidean\constraints\concept_cccl\test\out_close_4_fin.png,0.0-3.0-0.1,nuk,1,18409,0.784584732,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'nuk' is: Three intersecting circles. Among their points of intersection, one point is shared by all three circles. Additionally, one of the circles contains a line whose endpoints are on the circle's border.<br><b>Question:</b><br> Is the image below a 'nuk'? <br></p><img src='geoclidean\constraints\concept_cccl\test\out_close_4_fin.png' height='300px'>",,114375,,4,html-button-response,,
23,CB14,"['No', 'Yes']",concept_llt,TRUE,"A triangle, as well as two additional straight lines that intersect at one of its corners.",,,,geoclidean\constraints\concept_llt\test\out_far_5_fin.png,0.0-3.0-0.2,xip,0,9073,0.784584732,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'xip' is: A triangle, as well as two additional straight lines that intersect at one of its corners.<br><b>Question:</b><br> Is the image below a 'xip'? <br></p><img src='geoclidean\constraints\concept_llt\test\out_far_5_fin.png' height='300px'>",,123451,,5,html-button-response,,
23,CB14,"['No', 'Yes']",concept_angle,FALSE,An angle formed between two lines.,,,,geoclidean\elements\concept_angle\test\out_far_5_fin.png,0.0-3.0-0.3,jeg,1,7708,0.784584732,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'jeg' is: An angle formed between two lines.<br><b>Question:</b><br> Is the image below a 'jeg'? <br></p><img src='geoclidean\elements\concept_angle\test\out_far_5_fin.png' height='300px'>",,131161,,6,html-button-response,,
23,CB14,"['No', 'Yes']",concept_quadrilateral,TRUE,A four-sided closed shape.,,,,geoclidean\elements\concept_quadrilateral\test\in_4_fin.png,0.0-3.0-0.4,honv,1,7407,0.784584732,Yes,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'honv' is: A four-sided closed shape.<br><b>Question:</b><br> Is the image below a 'honv'? <br></p><img src='geoclidean\elements\concept_quadrilateral\test\in_4_fin.png' height='300px'>",,138571,,7,html-button-response,,
23,CB14,"['No', 'Yes']",concept_lllc,TRUE,"Two lines that either extend or pass through the center of a circle, and a third line that extends from one of the two lines.",,,,geoclidean\constraints\concept_lllc\test\out_far_5_fin.png,0.0-3.0-0.5,vop,0,16552,0.784584732,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'vop' is: Two lines that either extend or pass through the center of a circle, and a third line that extends from one of the two lines.<br><b>Question:</b><br> Is the image below a 'vop'? <br></p><img src='geoclidean\constraints\concept_lllc\test\out_far_5_fin.png' height='300px'>",,155125,,8,html-button-response,,
23,CB14,"['No', 'Yes']",concept_parallel_l,TRUE,Parallel lines.,,,,geoclidean\elements\concept_parallel_l\test\in_2_fin.png,0.0-3.0-0.6,kab,1,2749,0.784584732,Yes,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'kab' is: Parallel lines.<br><b>Question:</b><br> Is the image below a 'kab'? <br></p><img src='geoclidean\elements\concept_parallel_l\test\in_2_fin.png' height='300px'>",,157877,,9,html-button-response,,
